Name,Artists,Album,Release Date
Face Down,The Red Jumpsuit Apparatus,Don't You Fake It,2006-01-01
Turn My Back,Mayday Parade,Sunnyland B-Sides,2018-06-08
Give A Little Bit More (Disaster),Bleeker,Give A Little Bit More (Disaster),2020-01-10
Welcome to the Black Parade,My Chemical Romance,The Black Parade,2006-10-23
I Don't Love You,My Chemical Romance,The Black Parade,2006-10-23
When You Know,Neck Deep,All Distortions Are Intentional,2020-07-24
Mood (feat. iann dior),"24kGoldn,iann dior",El Dorado,2021-03-26
Circles,Post Malone,Hollywood's Bleeding,2019-09-06
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone,Swae Lee",Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),2018-12-14
Fuck Love (feat. Trippie Redd),"XXXTENTACION,Trippie Redd",17,2017-08-25
Everytime,"CHEN,Punch",Descendants Of The Sun Pt.2 (Original Television Soundtrack),2016-02-25
Not a Love Song,IGWI,Real:Time:Love 3 (Original Television Soundtrack) Pt. 1,2020-08-21
Make You Mine,PUBLIC,Make You Mine,2019-08-09
WW3,"poptropicaslutz!,RIZ LA VIE,grandma",WW3,2022-01-18
Border,HARIZ,Border,2022-02-25
Jump,Good Terms,Jump,2021-11-10
Hold On,Chord Overstreet,Hold On,2017-02-03
One Call Away,Charlie Puth,Nine Track Mind,2016-01-29
"Fix Yourself, Then the World (Reach Beyond Your Fingers)",The Wombats,"Fix Yourself, Not the World",2022-01-14
Flip Me Upside Down,The Wombats,"Fix Yourself, Not the World",2022-01-14
This Car Drives All by Itself,The Wombats,"Fix Yourself, Not the World",2022-01-14
"If You Ever Leave, I'm Coming with You",The Wombats,"Fix Yourself, Not the World",2022-01-14
Ready for the High,The Wombats,"Fix Yourself, Not the World",2022-01-14
Method to the Madness,The Wombats,"Fix Yourself, Not the World",2022-01-14
"People Don't Change People, Time Does",The Wombats,"Fix Yourself, Not the World",2022-01-14
Everything I Love Is Going to Die,The Wombats,"Fix Yourself, Not the World",2022-01-14
"Work Is Easy, Life Is Hard",The Wombats,"Fix Yourself, Not the World",2022-01-14
Wildfire,The Wombats,"Fix Yourself, Not the World",2022-01-14
Don't Poke the Bear,The Wombats,"Fix Yourself, Not the World",2022-01-14
Worry,The Wombats,"Fix Yourself, Not the World",2022-01-14
Best Day Of My Life,American Authors,"Oh, What A Life",2014-01-01
Counting Stars,OneRepublic,Native,2013-01-01
Demons,Imagine Dragons,Night Visions,2012-09-04
Payphone,Maroon 5,Sing Along Bangers,2021-06-11
The Nights,Avicii,The Days / Nights,2014-01-01
Perfect,One Direction,Made In The A.M. (Deluxe Edition),2015-11-13
Stitches,Shawn Mendes,Handwritten,2015-04-14
See You Again (feat. Charlie Puth),"Wiz Khalifa,Charlie Puth",Furious 7: Original Motion Picture Soundtrack,2015-03-17
"See You Again, Love Me Like You Do, Sugar - Acoustic Mashup",Megan Davies,"See You Again, Love Me Like You Do, Sugar (Acoustic Mashup)",2015-05-15
What Makes You Beautiful,One Direction,Up All Night,2012-05-25
Closer,"The Chainsmokers,Halsey",Closer,2016-07-29
Just the Way You Are,Bruno Mars,Doo-Wops & Hooligans,2010-10-05
Love Yourself,Justin Bieber,Purpose (Deluxe),2015-11-13
I'm Yours,Jason Mraz,We Sing. We Dance. We Steal Things.,2008-05-12
Say You Won't Let Go,James Arthur,Back from the Edge,2016-10-28
Rude,MAGIC!,Don't Kill the Magic,2014-06-25
Blank Space - Rock,Our Last Night,Blank Space (Rock),2015-01-20
Roar,Katy Perry,PRISM (Deluxe),2013-10-18
Bad Day,Daniel Powter,Daniel Powter,2005-02-22
All of Me,John Legend,Love In The Future (Expanded Edition),2013-08-30
Love Me Like You Do,Twenty One Two,Love Me Like You Do,2015-03-23
Love Yourself,Twenty One Two,Love Yourself,2016-02-25
7 years,Twenty One Two,7 Years,2016-04-06
abcdefu,Our Last Night,abcdefu,2022-02-03
Intentions (feat. Quavo),"Justin Bieber,Quavo",Changes,2020-02-14
I Gotta Feeling,Black Eyed Peas,The Beginning & The Best Of The E.N.D. (International Mega-Deluxe Version),2010-01-01
STAY (with Justin Bieber),"The Kid LAROI,Justin Bieber",STAY (with Justin Bieber),2021-07-09
Baby,"Justin Bieber,Ludacris",My World 2.0,2010-01-01
Eenie Meenie,"Sean Kingston,Justin Bieber",Eenie Meenie,2010-03-23
Boulevard of Broken Dreams,Green Day,Greatest Hits: God's Favorite Band,2017-11-17
21 Guns,Green Day,21st Century Breakdown,2009-05-15
Wake Me up When September Ends,Green Day,American Idiot,2004-09-21
Crazy,Makeout,The Good Life,2017-09-29
Ride It Out,Makeout,The Good Life,2017-09-29
Secrets,Makeout,The Good Life,2017-09-29
Childish,Makeout,The Good Life,2017-09-29
Home,Makeout,Home,2020-07-10
This Song Saved My Life,Simple Plan,Get Your Heart On! (Deluxe Edition),2011-06-17
Where I Belong (feat. We The Kings),"Simple Plan,State Champs,We The Kings",Where I Belong (feat. We The Kings),2019-10-11
Wherever you are,ONE OK ROCK,Niche Syndrome,2010-06-09
Right Now (Na Na Na),Akon,Freedom,2008-01-01
Follow You,Bring Me The Horizon,That's The Spirit,2015-09-11
Throne,Bring Me The Horizon,That's The Spirit,2015-09-11
Drown,Bring Me The Horizon,That's The Spirit,2015-09-11
medicine,Bring Me The Horizon,amo,2019-01-25
Avalanche,Bring Me The Horizon,That's The Spirit,2015-09-11
mother tongue,Bring Me The Horizon,amo,2019-01-25
True Friends,Bring Me The Horizon,That's The Spirit,2015-09-11
DiE4u,Bring Me The Horizon,DiE4u,2021-09-16
Teardrops,Bring Me The Horizon,POST HUMAN: SURVIVAL HORROR,2020-10-30
Oh No,Bring Me The Horizon,That's The Spirit,2015-09-11
Can't Take My Eyes off You,Muse,Dead Star / In Your World,2002
Sign of the Times,Harry Styles,Harry Styles,2017-05-12
Moving Boxes,With Confidence,Love and Loathing,2018-08-10
I Revolve (Around You),Neck Deep,All Distortions Are Intentional,2020-07-24
Enough,Normandie,White Flag,2018-10-26
Degenerates,A Day To Remember,Degenerates,2019-08-20
Wish You Were Here,Neck Deep,The Peace And The Panic,2017-08-18
"Stay Close, Don't Go",Secondhand Serenade,A Twist in My Story,2008-05-13
Stay,"Zedd,Alessia Cara",Stay,2017-02-23
Something Just Like This,"The Chainsmokers,Coldplay",Memories...Do Not Open,2017-04-07
T Love,Quarters of Change,T Love,2022-04-08
bad habit (dramatic!),poptropicaslutz!,bad habit (dramatic!),2021-06-25
romeo & juliet,"poptropicaslutz!,Lil Jonto,Yung Crawf",romeo & juliet,2020-06-26
Hollywood High 16,poptropicaslutz!,Hollywood High 16,2020-12-16
user not found,poptropicaslutz!,noOffense.mp3,2021-03-12
World's Smallest Violin,AJR,OK ORCHESTRA,2021-03-26
Not the End of the World,Katy Perry,Smile,2020-08-28
this might be our last december,poptropicaslutz!,this might be our last december,2021-08-20
August,Noah Ransom,August,2021-08-26
My Demise,Over The Moon,My Demise,2021-10-29
Kids Like Us,Magnolia Park,Halloween Mixtape,2021-10-29
Butterflies,Between You & Me,Armageddon,2021-11-19
Daddy's Coming Home,BabyJake,The Sun Wakes Up Earlier Now,2021-09-03
Liar,Magnolia Park,Halloween Mixtape,2021-10-29
estella//,"KennyHoopla,Travis Barker",estella//,2020-11-20
maybe (feat. Bring Me The Horizon),"Machine Gun Kelly,Bring Me The Horizon",mainstream sellout,2022-03-25
Everybody but You,"State Champs,Ben Barlow",Kings of the New Age,2022-05-13
Back Home,Magnolia Park,Halloween Mixtape,2021-10-29
Wherever You Will Go,The Calling,The Best Of...,2011-02-04
The Reason,Hoobastank,The Reason (15th Anniversary Deluxe),2003-12-09
Someone To You,BANNERS,Empires On Fire,2017-11-03
Fireflies,Owl City,Ocean Eyes (Deluxe Version),2009-01-01
Pompeii,Bastille,Pompeii,2013-01-01
Love Me Again,John Newman,Love Me Again,2013-01-01
The Man Who Can't Be Moved,The Script,The Script,2008-07-14
Hall of Fame (feat. will.i.am),"The Script,will.i.am",#3 Deluxe Version,2012-09-10
Superheroes,The Script,No Sound Without Silence,2014-09-15
Breakeven,The Script,The Script,2008-07-14
Yellow,Coldplay,Parachutes,2000-07-10
For the First Time,The Script,Science & Faith,2010-09-13
Rock the World,The Script,Freedom Child,2017-09-01
We Cry,The Script,The Script,2008-09-08
If You Ever Come Back,The Script,Science & Faith,2010-09-13
Dead Man Walking,The Script,Science & Faith,2010-09-13
Good Ol' Days,The Script,#3 Deluxe Version,2012-09-10
Glowing,The Script,#3 Deluxe Version,2012-09-10
The Last Time,The Script,Sunsets & Full Moons,2019-11-08
Run Through Walls,The Script,Sunsets & Full Moons,2019-11-08
Jet Lag (feat. Natasha Bedingfield),"Simple Plan,Natasha Bedingfield",Get Your Heart On! (Deluxe Edition),2011-06-17
The Beginning,ONE OK ROCK,JINSEI KAKETE BOKU WA,2013-03-06
Here Without You,"3 Doors Down,Jack Joseph Puig",The Greatest Hits,2012-01-01
Right Here Waiting,Richard Marx,Repeat Offender,1989-01-01
Whatcha Know 'Bout That,Morgan Wallen,If I Know Me,2018-04-27
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,Save Rock And Roll,2013-01-01
Gimme Love,Joji,Nectar,2020-09-25
(Everything I Do) I Do It For You,Bryan Adams,Waking Up The Neighbours,1991-09-24
Please Forgive Me,Bryan Adams,Anthology,2005-01-01
Better Now,Post Malone,beerbongs & bentleys,2018-04-27
everything sucks,vaultboy,everything sucks,2021-05-21
There's Nothing Holdin' Me Back,Shawn Mendes,Illuminate (Deluxe),2017-04-20
Sunroof,"Nicky Youre,dazy",Sunroof,2021-12-03
Understand,BoyWithUke,Serotonin Dreams,2022-05-06
Bad Habits (feat. Bring Me The Horizon),"Ed Sheeran,Bring Me The Horizon",Bad Habits (feat. Bring Me The Horizon),2022-02-08
I Always Wanna Die (Sometimes),The 1975,A Brief Inquiry Into Online Relationships,2018-11-30
Glimpse of Us,Joji,Glimpse of Us,2022-06-10
I'LL SEE YOU IN 40,Joji,BALLADS 1,2018-10-26
SLOW DANCING IN THE DARK,Joji,BALLADS 1,2018-10-26
Sanctuary,Joji,Nectar,2020-09-25
Until I Found You,Stephen Sanchez,Until I Found You,2021-09-01
sTraNgeRs,Bring Me The Horizon,sTraNgeRs,2022-07-06
Come Around,Raue,Erase & Rewind,2022-04-22
"Sparkle (From ""Kimi No Nawa"") [Guitar Instrumental]",Edward Ong,"Sparkle (From ""Kimi No Nawa"") [Guitar Instrumental]",2021-07-10
Be the light,ONE OK ROCK,JINSEI KAKETE BOKU WA,2013-03-06
Fix You,Coldplay,X&Y,2005-06-07
Somewhere Only We Know,Keane,The Best Of Keane (Deluxe Edition),2013-01-01
My Sacrifice,Creed,Weathered,2001-01-01
Robbers,The 1975,The 1975,2013-01-01
Won't Go Home Without You,Maroon 5,It Won't Be Soon Before Long (International Version),2007-01-01
Caroline,Crash Adams,Caroline,2020-03-27
Give Me a Kiss,Crash Adams,Give Me a Kiss,2022-07-22
Sound of Revival (Live),"Radiant City Music,Devin Strasser",Break It Open (Live),2022-02-18
Real Life,Story Of The Year,Real Life,2022-08-24
Hooked,Why Don't We,8 Letters,2018-08-31
Deep In Yr Mind,James Wyatt Crosby,Twins,2017-09-15
Happiness,The 1975,Being Funny In A Foreign Language,2022-10-14
Lost My Heartbreak,David J,Lost My Heartbreak,2021-09-03
Not a Home,Pardyalone,Not a Home,2022-06-24
The Hardest Part,Alexander 23,Aftershock,2022-07-15
To the Bone,Pamungkas,Flying Solo,2019-06-14
Blonde,Waterparks,Entertainment,2018-01-26
Past Lives,"Martin Arteta,creamy,11:11 Music Group",Past Lives,2020-09-21
Don't Cry,Emarosa,Peach Club,2019-02-08
Cloud 9,"GABE ISAAC,Ethan Dufault",Cloud 9,2022-06-16
I Really Want to Stay at Your House,"Rosa Walton,Hallie Coggins","Cyberpunk 2077: Radio, Vol. 2 (Original Soundtrack)",2020-12-18
SNAP,Rosa Linn,SNAP,2022-03-19
I'm In Love With You,The 1975,Being Funny In A Foreign Language,2022-10-14
I Promised,KAYDEN,Endings,2018-11-02
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth,Jung Kook,BTS",CHARLIE,2022-10-06
All We Know,"The Chainsmokers,Phoebe Ryan",Collage EP,2016-11-04
